id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
524,10k-g-TFC,10.1016/j.memsci.2017.01.002,In situ surface modification of thin film composite forward osmosis membranes with sulfonated poly(arylene ether sulfone) for anti-fouling in emulsified oil/water separation,2017,Zhang,Polymeric TFC,,Polyamide,,Post-treatment: surface,,XPS;SEM;Zeta potential,No,1.36,0.35,3.885714285714286,98.67,98.7,Cross-flow,20,0.02,,,0.88,Not available,1,,62.6,10.3,,3.14,
525,18k-g-TFC,10.1016/j.memsci.2017.01.002,In situ surface modification of thin film composite forward osmosis membranes with sulfonated poly(arylene ether sulfone) for anti-fouling in emulsified oil/water separation,2017,Zhang,Polymeric TFC,,Polyamide,,Post-treatment: surface,,XPS;SEM;Zeta potential,No,1.28,0.33,3.878787878787879,98.67,98.7,Cross-flow,20,0.02,,,0.88,Not available,1,,64.9,21.51,,3.14,
526,X48h,10.3390/membranes10120439,A New Method for a Polyethersulfone-Based Dopamine-Graphene (xGnP-DA/PES) Nanocomposite Membrane in Low/Ultra-Low Pressure Reverse Osmosis (L/ULPRO) Desalination,2020,Ndlwana,TFN / Hybrid,,Polyethersulfone;Other,Graphene,Other,Post-treatment: curing time,FTIR;XPS;AFM;SEM,No,2.22,0.0096,231.25000000000003,99.92,99.91,Dead-end,8,0.0513,,,2.28,CP calculated assuming kf = 100,1.13,,85,67.5,,14.8,5.57
527,MFI-10C,10.1016/j.seppur.2006.06.012,Transport of water and alkali metal ions through MFI zeolite membranes during reverse osmosis,2007,Li,Inorganic,,Zeolite,,No modification,,SEM,No,0.58,0.209,2.77511961722488,98.42,98.2,Cross-flow,27.5,0.1,0.00000438,1.16e-9,4.39,CP calculated assuming kf = 100,1.14,2000,,,3775.8620689655177,6.16,6.04
528,MFI-30C,10.1016/j.seppur.2006.06.012,Transport of water and alkali metal ions through MFI zeolite membranes during reverse osmosis,2007,Li,Inorganic,,Zeolite,,No modification,,SEM,No,0.85,0.3193,2.662073285311619,98.34,98,Cross-flow,27.5,0.1,0.00000645,1.77e-9,4.38,CP calculated assuming kf = 100,1.21,2000,,,3644.0677966101694,6.16,6.04
529,MFI-50C,10.1016/j.seppur.2006.06.012,Transport of water and alkali metal ions through MFI zeolite membranes during reverse osmosis,2007,Li,Inorganic,,Zeolite,,No modification,,SEM,No,0.97,0.3091,3.1381429957942415,98.22,97.8,Cross-flow,27.5,0.1,0.00000738,2.17e-9,4.37,CP calculated assuming kf = 100,1.24,2000,,,3400.921658986175,6.16,6.04
530,TM710D,https://www.water.toray/products/ro/pdf/TM700D_v0_202104.pdf,Toray TM700D,2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,3.93,0.0614,64.00651465798046,99.88,99.8,Cross-flow,15.51,0.03422,,,1.52,Not available,1.67,,,,,80000,7
531,TM720D-400,https://www.water.toray/products/ro/pdf/TM700D_v0_202104.pdf,Toray TM700D,2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,3.58,0.0588,60.884353741496604,99.87,99.8,Cross-flow,15.51,0.03422,,,1.52,Not available,1.6,,,,,370000,7
532,TM720D-440,https://www.water.toray/products/ro/pdf/TM700D_v0_202104.pdf,Toray TM700D,2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,3.55,0.0586,60.580204778157,99.87,99.8,Cross-flow,15.51,0.03422,,,1.52,Not available,1.59,,,,,410000,7
535,TFN3,10.1016/j.desal.2020.114601,Doping MIL-101(Cr)@GO in polyamide nanocomposite membranes with improved water flux,2020,song,TFN / Hybrid,,Polyamide;Graphene oxide,,Synthesis: deposition method,,FTIR;SEM,No,2.84,6.222,0.5,89.11,83.1,Cross-flow,20,0.03,0,,1.26,Not available,1.55,,,,,11.3,
536,PA-control,10.1016/j.memsci.2017.04.008,Performance enhancement of TFC FO membranes with polyethyleneimine modification and post-treatment,2017,Shen,Polymeric TFC,,Polyamide,,No modification,,XPS;AFM;SEM;Zeta potential;PALS,No,1.99,0.18,11.1,94.93,93.71,Not available,3,0.01711,,,0.72,CP calculated assuming kf = 100,1.24,273.02,,79,,17.35,
537,sPA-PEI-600,10.1016/j.memsci.2017.04.008,Performance enhancement of TFC FO membranes with polyethyleneimine modification and post-treatment,2017,Shen,Polymeric TFC,,Polyamide;Polyethyleneimine,,Post-treatment: surface,,XPS;AFM;SEM;Zeta potential;PALS,No,2.29,0.35,6.54,91.57,91.16,Not available,3,0.01711,,,0.69,Not available,1,264.35,,38,,17.35,
538,sPA-1200,10.1016/j.memsci.2017.04.008,Performance enhancement of TFC FO membranes with polyethyleneimine modification and post-treatment,2017,Shen,Polymeric TFC,,Polyamide;Polyethyleneimine,,Post-treatment: surface,,XPS;AFM;SEM;Zeta potential;PALS,No,2.59,0.45,2.76,90.54,90.02,Not available,3,0.01711,,,0.68,Not available,1.05,,,32,,17.35,
539,sPA-1800,10.1016/j.memsci.2017.04.008,Performance enhancement of TFC FO membranes with polyethyleneimine modification and post-treatment,2017,Shen,Polymeric TFC,,Polyamide;Polyethyleneimine,,Post-treatment: surface,,XPS;AFM;SEM;Zeta potential;PALS,No,2.85,0.59,4.83,89,88.35,Not available,3,0.01711,,,0.67,Not available,1.06,,,28,,17.35,
540,sPA-1800-1,10.1016/j.memsci.2017.04.008,Performance enhancement of TFC FO membranes with polyethyleneimine modification and post-treatment,2017,Shen,Polymeric TFC,,Polyamide;Polyethyleneimine,,Post-treatment: surface,,XPS;Zeta potential;PALS,No,3.96,0.92,4.304,88.07,87.09,Not available,3,0.01711,,,0.66,Not available,1.08,,,,,17.35,
541,sPA-1800-5,10.1016/j.memsci.2017.04.008,Performance enhancement of TFC FO membranes with polyethyleneimine modification and post-treatment,2017,Shen,Polymeric TFC,,Polyamide;Polyethyleneimine,,Post-treatment: surface,,XPS;Zeta potential;PALS,No,2.9,0.61,4.75,88.86,88.19,Not available,3,0.01711,,,0.67,Not available,1.06,,,,,17.35,
542,sPA-1800-9,10.1016/j.memsci.2017.04.008,Performance enhancement of TFC FO membranes with polyethyleneimine modification and post-treatment,2017,Shen,Polymeric TFC,,Polyamide;Polyethyleneimine,,Post-treatment: surface,,XPS;Zeta potential;PALS,No,2.87,0.67,4.28,87.89,87.17,Not available,3,0.01711,,,0.66,Not available,1.06,,,,,17.35,
543,sPA-1800-13,10.1016/j.memsci.2017.04.008,Performance enhancement of TFC FO membranes with polyethyleneimine modification and post-treatment,2017,Shen,Polymeric TFC,,Polyamide;Polyethyleneimine,,Post-treatment: surface,,XPS;Zeta potential;PALS,No,3.53,1.1,3.21,84.58,83.48,Not available,3,0.01711,,,0.63,Not available,1.07,,,,,17.35,
544,pristine,10.1016/j.memsci.2019.02.027,Facile performance enhancement of reverse osmosis membranes via solvent activation with benzyl alcohol,2019,Shin,Polymeric TFC,,Polyamide,,No modification,,Zeta potential;FTIR;XPS;AFM;SEM,No,1.83,0.0777,23.5,99.69,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.28,331,78,75,,14.5,
545,IPA,10.1016/j.memsci.2019.02.027,Facile performance enhancement of reverse osmosis membranes via solvent activation with benzyl alcohol,2019,Shin,Polymeric TFC,,Polyamide,,Post-treatment: solvent activation,,Zeta potential;FTIR;XPS;AFM;SEM,No,2.18,0.13,16.5,99.55,99.4,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.34,328,69.7,75,,14.5,
546,EtOH,10.1016/j.memsci.2019.02.027,Facile performance enhancement of reverse osmosis membranes via solvent activation with benzyl alcohol,2019,Shin,Polymeric TFC,,Polyamide,,Post-treatment: solvent activation,,Zeta potential;FTIR;XPS;AFM;SEM,No,2.92,0.1588,18.4,99.59,99.4,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.47,319,71.3,75,,14.5,
547,DMF,10.1016/j.memsci.2019.02.027,Facile performance enhancement of reverse osmosis membranes via solvent activation with benzyl alcohol,2019,Shin,Polymeric TFC,,Polyamide,,Post-treatment: solvent activation,,Zeta potential;FTIR;XPS;AFM;SEM,No,17.83,1.4782,12.1,99.06,95.7,Cross-flow,15.5,0.034,,,1.44,CP calculated assuming kf = 100,4.71,320,49.6,84,,14.5,
548,BA,10.1016/j.memsci.2019.02.027,Facile performance enhancement of reverse osmosis membranes via solvent activation with benzyl alcohol,2019,Shin,Polymeric TFC,,Polyamide,,Post-treatment: solvent activation,,Zeta potential;FTIR;XPS;AFM;SEM,No,4.61,0.1313,35.110434120335114,99.78,99.6,Cross-flow,15.5,0.034,,,1.5,CP calculated assuming kf = 100,1.8,330,60.4,74,,14.5,
549,TFC-control,10.1021/acs.est.8b05690,Calcium-Carboxyl Intrabridging during Interfacial Polymerization: A Novel Strategy to Improve Antifouling Performance of Thin Film Composite Membranes,2019,Hao,Polymeric TFC,,Polyamide,,Synthesis: additives,,Zeta potential;FTIR;XPS;SEM;AFM,No,1.7,0.37,4.59,98.61,98.1,Cross-flow,20,0.02,,,0.87,CP calculated assuming kf = 100,1.38,,54,74,,15.89,
550,TFC-Ca2+(0.2),10.1021/acs.est.8b05690,Calcium-Carboxyl Intrabridging during Interfacial Polymerization: A Novel Strategy to Improve Antifouling Performance of Thin Film Composite Membranes,2019,Hao,Polymeric TFC,,Polyamide,,Synthesis: additives,,Zeta potential;FTIR;XPS;SEM;AFM,No,1.72,0.39,4.41,98.54,98,Cross-flow,20,0.02,,,0.87,CP calculated assuming kf = 100,1.38,,48,62,,15.89,
551,TFC-Ca2+(0.5),10.1021/acs.est.8b05690,Calcium-Carboxyl Intrabridging during Interfacial Polymerization: A Novel Strategy to Improve Antifouling Performance of Thin Film Composite Membranes,2019,Hao,Polymeric TFC,,Polyamide,,Synthesis: additives,,Zeta potential;FTIR;XPS;SEM;AFM,No,1.93,0.39,4.95,98.39,97.7,Cross-flow,20,0.02,,,0.87,CP calculated assuming kf = 100,1.38,,38,48,,15.89,
552,TFC-Ca2+(1),10.1021/acs.est.8b05690,Calcium-Carboxyl Intrabridging during Interfacial Polymerization: A Novel Strategy to Improve Antifouling Performance of Thin Film Composite Membranes,2019,Hao,Polymeric TFC,,Polyamide,,Synthesis: additives,,Zeta potential;FTIR;XPS;SEM;AFM,No,2.44,0.42,5.81,98.66,97.9,Cross-flow,20,0.02,,,0.87,CP calculated assuming kf = 100,1.58,,30,28,,15.89,
553,TFC-Ca2+(2),10.1021/acs.est.8b05690,Calcium-Carboxyl Intrabridging during Interfacial Polymerization: A Novel Strategy to Improve Antifouling Performance of Thin Film Composite Membranes,2019,Hao,Polymeric TFC,,Polyamide,,Synthesis: additives,,Zeta potential;FTIR;XPS;SEM;AFM,No,1.97,0.4,4.925,98.61,98,Cross-flow,20,0.02,,,0.87,CP calculated assuming kf = 100,1.45,,46,45,,15.89,
554,TFC,10.1021/acs.est.9b00473,Hydrophilic Silver Nanoparticles Induce Selective Nanochannels in Thin Film Nanocomposite Polyamide Membranes,2019,Yang,Polymeric TFC,,Polyamide,,No modification,,SEM;TEM;XPS,No,0.89,0.3686,2.4,97.78,97.4,Cross-flow,20,0.034,,,1.47,CP calculated assuming kf = 100,1.18,,,69,,,
555,TFC-Ag1,10.1021/acs.est.9b00473,Hydrophilic Silver Nanoparticles Induce Selective Nanochannels in Thin Film Nanocomposite Polyamide Membranes,2019,Yang,TFN / Hybrid,,Polyamide;Other,Silver nanoparticles,Synthesis: additives,concentration NP,SEM;TEM;XPS,No,1.19,0.5016,2.3724082934609245,97.73,97.2,Cross-flow,20,0.034,,,1.47,CP calculated assuming kf = 100,1.24,,,73,,,
556,TFC-Ag5,10.1021/acs.est.9b00473,Hydrophilic Silver Nanoparticles Induce Selective Nanochannels in Thin Film Nanocomposite Polyamide Membranes,2019,Yang,TFN / Hybrid,,Polyamide;Other,silver nanoparticles,Synthesis: additives,concentration NP,SEM;TEM;XPS,No,1.29,0.5151,2.5,97.85,97.3,Cross-flow,20,0.034,,,1.47,CP calculated assuming kf = 100,1.26,,,61,,,
557,TFC-Ag20,10.1021/acs.est.9b00473,Hydrophilic Silver Nanoparticles Induce Selective Nanochannels in Thin Film Nanocomposite Polyamide Membranes,2019,Yang,TFN / Hybrid,,Polyamide;Other,silver nanoparticles,Synthesis: additives,concentration NP,SEM;TEM;XPS,No,2.39,0.2432,9.8,99.43,99.13,Cross-flow,20,0.034,,,1.5,CP calculated assuming kf = 100,1.53,,,66,,,
558,TFC-Ag100,10.1021/acs.est.9b00473,Hydrophilic Silver Nanoparticles Induce Selective Nanochannels in Thin Film Nanocomposite Polyamide Membranes,2019,Yang,TFN / Hybrid,,Polyamide;Other,silver nanoparticles,Synthesis: additives,concentration NP,SEM;TEM;XPS,No,0.85,0.3403,2.5,97.85,97.5,Cross-flow,20,0.034,,,1.47,CP calculated assuming kf = 100,1.17,,,65,,,
564,PBM,10.1016/j.memsci.2018.03.052,Polymersomes-based high-performance reverse osmosis membrane for desalination,2018,Qi,TFN / Hybrid,,Polyamide;Other,polymersome,Synthesis: deposition method,,SEM;TEM;XPS;AFM,No,4.76,0.185,25.72972972972973,99.1,98.9,Cross-flow,35,0.5476,,,25.05,Not available,1.23,,,,,42,
565,SW30,10.1016/j.memsci.2018.03.052,Polymersomes-based high-performance reverse osmosis membrane for desalination,2018,Qi,Polymeric TFC,,Polyamide,,No modification,,,No,1.93,0.1715,11.253644314868803,98.68,98.5,Cross-flow,35,0.5476,,,24.95,Not available,1.14,,,,,42,
566,BW30,10.1016/j.memsci.2018.03.052,Polymersomes-based high-performance reverse osmosis membrane for desalination,2018,Qi,Polymeric TFC,,Polyamide,,No modification,,,No,2.11,0.737,2.8629579375848033,94.6,95.32,Cross-flow,35,0.5476,,,24.02,Not available,1.16,,,,,42,
567,Control PBM,10.1016/j.memsci.2018.03.052,Polymersomes-based high-performance reverse osmosis membrane for desalination,2018,Qi,TFN / Hybrid,,Polyamide;Other,polymersome,Synthesis: deposition method,,AFM;SEM;TEM;XPS,No,2.02,0.7814,2.5851036600972614,94.95,94.2,Cross-flow,35,0.5476,,,23.92,Not available,1.16,,,,,42,
568,TFC-M1,10.1016/j.desal.2014.11.013,Low fouling and improved chlorine resistant thin film composite reverse osmosis membranes by cerium(IV)/polyvinyl alcohol mediated surface modification,2015,Rana,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,3.78,0.8156,4.6,98.55,97.5,Cross-flow,17.2,0.03,,,1.48,CP calculated assuming kf = 100,1.74,,,,,14.5,
569,TFC-M2,10.1016/j.desal.2014.11.013,Low fouling and improved chlorine resistant thin film composite reverse osmosis membranes by cerium(IV)/polyvinyl alcohol mediated surface modification,2015,Rana,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.62,1.4,1.9,96.58,95,Cross-flow,17.2,0.03,,,1.44,CP calculated assuming kf = 100,1.48,,,,,14.5,
570,TFC-M3,10.1016/j.desal.2014.11.013,Low fouling and improved chlorine resistant thin film composite reverse osmosis membranes by cerium(IV)/polyvinyl alcohol mediated surface modification,2015,Rana,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.96,1.1837,2.5,97.39,96,Cross-flow,17.2,0.03,,,1.46,CP calculated assuming kf = 100,1.56,,,,,14.5,
571,TFC-M4,10.1016/j.desal.2014.11.013,Low fouling and improved chlorine resistant thin film composite reverse osmosis membranes by cerium(IV)/polyvinyl alcohol mediated surface modification,2015,Rana,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,4.33,2.14,2,96.71,94,Cross-flow,17.2,0.03,,,1.43,CP calculated assuming kf = 100,1.88,,,,,14.5,
572,TFC-M5,10.1016/j.desal.2014.11.013,Low fouling and improved chlorine resistant thin film composite reverse osmosis membranes by cerium(IV)/polyvinyl alcohol mediated surface modification,2015,Rana,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.36,1.0865,1.3,95.08,94,Cross-flow,17.2,0.03,,,1.43,CP calculated assuming kf = 100,1.23,,,,,14.5,
573,TFC-V,10.1016/j.desal.2014.11.013,Low fouling and improved chlorine resistant thin film composite reverse osmosis membranes by cerium(IV)/polyvinyl alcohol mediated surface modification,2015,Rana,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,3.97,1.003,4,98.29,97,Cross-flow,17.2,0.03,,,1.47,CP calculated assuming kf = 100,1.78,,,,,14.5,
574,unmodified,10.1016/j.desal.2015.02.029,Improving the fouling resistance of brackish water membranes via surface modification with graphene oxide functionalized chitosan,2015,Hegab,Polymeric TFC,,Graphene oxide,,Post-treatment: surface,,,No,4.59,4.0836,1.1,93.22,88.69,Cross-flow,14,0.026,,,1.01,CP calculated assuming kf = 100,1.75,,,,,,
575,M1,10.1016/j.desal.2015.02.029,Improving the fouling resistance of brackish water membranes via surface modification with graphene oxide functionalized chitosan,2015,Hegab,Polymeric TFC,,Graphene oxide,,Post-treatment: surface,,,No,3.96,1.4394,2.8,97.12,95.4,Cross-flow,14,0.026,,,1.09,CP calculated assuming kf = 100,1.62,,,,,,
576,M2,10.1016/j.desal.2015.02.029,Improving the fouling resistance of brackish water membranes via surface modification with graphene oxide functionalized chitosan,2015,Hegab,Polymeric TFC,,Graphene oxide,,Post-treatment: surface,,,No,5.13,1.5446,3.3,97.55,95.56,Cross-flow,14,0.026,,,1.09,CP calculated assuming kf = 100,1.85,,,,,,
577,Example 2,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Synthesis: solvent,,,No,0.48,0.12,4,99.61,99.47,Not available,103.4,0.6,,,28.17,CP calculated assuming kf = 100,1.37,,,,,,
578,Example 3,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Synthesis: solvent,,,No,1.3,0.13,10,99.8,99.61,Not available,103.4,0.6,,,28.21,CP calculated assuming kf = 100,1.91,,,,,,
579,Example 4,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Synthesis: monomers,,,No,1.17,0.14,8.357142857142856,99.76,99.57,Not available,103.4,0.6,,,28.2,CP calculated assuming kf = 100,1.83,,,,,,
580,Example 5,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Synthesis: monomers,,,No,1.29,1.09,1.18348623853211,98.36,96.9,Not available,103.4,0.6,,,27.49,CP calculated assuming kf = 100,1.92,,,,,,
581,Example 6,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Synthesis: monomers,,,No,0.3,1.1,0.2727272727272727,94.99,93.9,Not available,103.4,0.6,,,26.68,CP calculated assuming kf = 100,1.23,,,,,,
582,Example 7,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Synthesis: solvent,,,No,0.21,0.12,1.75,99.22,99.1,Not available,103.4,0.6,,,28.07,CP calculated assuming kf = 100,1.16,,,,,,
583,Example 8,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Synthesis: solvent,,,No,2.18,3.39,0.6430678466076697,96.3,91.5,Not available,103.4,0.6,,,26.04,CP calculated assuming kf = 100,2.3,,,,,,
584,Example 9,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Other,Post-treatment: curing temperature,,No,0.06,0.01,6,99.69,99.68,Not available,103.4,0.6,,,28.22,CP calculated assuming kf = 100,1.05,,,,,,
585,Example 10,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Other,Post-treatment: curing temperature,,No,0.41,0.17,2.411764705882353,99.39,99.2,Not available,103.4,0.6,,,28.1,CP calculated assuming kf = 100,1.31,,,,,,
586,Example 11,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Other,Post-treatment: curing temperature,,No,0.42,0.08,5.25,99.7,99.6,Not available,103.4,0.6,,,28.2,CP calculated assuming kf = 100,1.32,,,,,,
587,Example 12,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Other,Post-treatment: curing temperature,,No,0.2,0.04,5,99.75,99.71,Not available,103.4,0.6,,,28.23,CP calculated assuming kf = 100,1.15,,,,,,
588,Example 13,U.S. Patent No. 3926798,Reverse Osmosis Membrane,1975,Cadotte,Polymeric TFC,,Polyfurfurylalcohol,,Other,Post-treatment: curing temperature,,No,0.19,3.84,0.04947916666666667,79,76.5,Not available,103.4,0.6,,,21.96,CP calculated assuming kf = 100,1.16,,,,,,
589,Example 7,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.68,0.12,22.333333333333336,99.65,99.5,Not available,14.71,0.03,,,1.15,CP calculated assuming kf = 100,1.42,,,,,,
590,Example 8,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.71,0.14,19.357142857142854,99.61,99.45,Not available,14.71,0.03,,,1.15,CP calculated assuming kf = 100,1.43,,,,,,
591,Comparative Example 1,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.38,0.18,13.222222222222221,99.41,99.2,Not available,14.71,0.03,,,1.14,CP calculated assuming kf = 100,1.37,,,,,,
592,Example 5,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,No modification,,,No,2.64,0.23,11.478260869565217,99.33,99.05,Not available,14.71,0.03,0.0000015,9.78e-11,1.14,CP calculated assuming kf = 100,1.41,150,,,15337.423312883437,,
593,Example 10,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Other,Post-treatment: alkaline-chlorine,,No,3.49,0.1,34.9,99.78,99.65,Not available,14.71,0.03,,,1.15,CP calculated assuming kf = 100,1.57,,,,,,
594,Comparative Example 3,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.54,0.36,7.055555555555556,98.92,95.8,Not available,14.71,0.03,,,1.14,CP calculated assuming kf = 100,3.89,,,,,,
595,Example 14,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support,,,No,2.36,0.25,9.44,99.3,99,Not available,55,0.6,,,28.04,CP calculated assuming kf = 100,1.42,,,,,,
596,Example 15,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support;Synthesis: monomers,,,No,2.41,0.25,9.64,99.3,99,Not available,55,0.6,,,28.04,CP calculated assuming kf = 100,1.43,,,,,,
597,Example 16,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support;Synthesis: monomers,,,No,2.43,0.15,16.200000000000003,99.58,99.4,Not available,55,0.6,,,28.15,CP calculated assuming kf = 100,1.43,,,,,,
598,Example 17,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support;Synthesis: monomers,,,No,1.79,0.2,8.95,99.33,99.1,Not available,55,0.6,,,28.07,CP calculated assuming kf = 100,1.36,,,,,,
599,Example 18,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support;Synthesis: monomers,,,No,3.44,0.25,13.76,99.41,99.1,Not available,55,0.6,,,28.07,CP calculated assuming kf = 100,1.52,,,,,,
600,Example 19,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support;Synthesis: monomers,,,No,3.35,0.25,13.4,99.4,99.1,Not available,55,0.6,,,28.07,CP calculated assuming kf = 100,1.52,,,,,,
601,Example 20,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support;Synthesis: monomers,,,No,4.34,0.23,18.869565217391305,99.49,99.2,Not available,55,0.6,,,28.1,CP calculated assuming kf = 100,1.58,,,,,,
602,Example 21,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support;Synthesis: monomers,,,No,3.47,0.17,20.41176470588235,99.61,99.4,Not available,55,0.6,,,28.15,CP calculated assuming kf = 100,1.52,,,,,,
603,Example 22,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: monomers;Synthesis: solvent,,,No,2.13,0.1,21.299999999999997,99.83,99.7,Not available,29.42,0.03,,,1.15,CP calculated assuming kf = 100,1.79,,,,,,
604,Example 23,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Synthesis: support,,,No,1.59,0.24,6.625000000000001,99.17,98.9,Not available,55,0.6,,,28.02,CP calculated assuming kf = 100,1.33,,,,,,
605,Example 24,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Other,Post-treatment: alkaline-chlorine,,No,10.03,0.67,14.970149253731341,99.41,98.2,Not available,14.71,0.03,,,1.13,CP calculated assuming kf = 100,3.08,,,,,,
606,Example 25,U.S. Patent No. 4761234,Interfacially Synthesized Reverse Osmosis Membrane,1988,Uemura,Polymeric TFC,,Polyamide,,Other,Post-treatment: hydrogen peroxide,,No,1.31,0.04,32.75,99.75,99.7,Not available,14.71,0.03,,,1.15,CP calculated assuming kf = 100,1.2,,,,,,
607,TFC-SH,10.1016/j.memsci.2015.09.060,Immobilization of silver nanoparticle-decorated silica particles on polyamide thin film composite membranes for antibacterial properties,2016,Park,Polymeric TFC,,Polyamide,,Post-treatment: surface,utilizes amide formation reaction between acyl chloride groups on the PA TFC membrane surface and amine groups of cysteamine in an aqueous phase,,No,2.3,0.2762,8.32729905865315,99.12,98.8,Cross-flow,15.5,0.0342,,,1.5,Not available,1.36,,,,,,
608,TFC-AgNP,10.1016/j.memsci.2015.09.060,Immobilization of silver nanoparticle-decorated silica particles on polyamide thin film composite membranes for antibacterial properties,2016,Park,Polymeric TFC,,Polyamide,,Post-treatment: surface,AgNP@SiO2 particles on the surface,,No,2.15,0.2636,8.15629742033384,99.1,98.8,Cross-flow,15.5,0.0342,,,1.5,Not available,1.34,,,,,,
609,TFC,10.1016/j.memsci.2015.09.060,Immobilization of silver nanoparticle-decorated silica particles on polyamide thin film composite membranes for antibacterial properties,2016,Park,Polymeric TFC,,Polyamide,,No modification,,,No,2.23,0.2245,9.933184855233852,99.26,99,Cross-flow,15.5,0.0342,,,1.5,Not available,1.35,,,,,,
